antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'daily_screen_time_hours'}),frozenset({'age'}),1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
frozenset({'age'}),frozenset({'daily_screen_time_hours'}),1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
frozenset({'social_media_hours'}),frozenset({'age'}),1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
frozenset({'age'}),frozenset({'social_media_hours'}),1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
frozenset({'gaming_hours'}),frozenset({'age'}),0.9992,1.0,0.9992,1.0,1.0,1.0,0.0,inf,0.0,0.9992,0.0,0.9996
frozenset({'age'}),frozenset({'gaming_hours'}),1.0,0.9992,0.9992,0.9992,1.0,1.0,0.0,1.0,0.0,0.9992,0.0,0.9996
frozenset({'work_study_hours'}),frozenset({'age'}),1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
frozenset({'age'}),frozenset({'work_study_hours'}),1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
frozenset({'sleep_hours'}),frozenset({'age'}),1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
frozenset({'age'}),frozenset({'sleep_hours'}),1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
frozenset({'notifications_per_day'}),frozenset({'age'}),1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
frozenset({'age'}),frozenset({'notifications_per_day'}),1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
frozenset({'app_opens_per_day'}),frozenset({'age'}),1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
frozenset({'age'}),frozenset({'app_opens_per_day'}),1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
frozenset({'weekend_screen_time'}),frozenset({'age'}),1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
frozenset({'age'}),frozenset({'weekend_screen_time'}),1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
frozenset({'addicted_label'}),frozenset({'age'}),0.7077333333333333,1.0,0.7077333333333333,1.0,1.0,1.0,0.0,inf,0.0,0.7077333333333333,0.0,0.8538666666666667
frozenset({'age'}),frozenset({'addicted_label'}),1.0,0.7077333333333333,0.7077333333333333,0.7077333333333333,1.0,1.0,0.0,1.0,0.0,0.7077333333333333,0.0,0.8538666666666667
frozenset({'social_media_hours'}),frozenset({'daily_screen_time_hours'}),1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
frozenset({'daily_screen_time_hours'}),frozenset({'social_media_hours'}),1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
frozenset({'gaming_hours'}),frozenset({'daily_screen_time_hours'}),0.9992,1.0,0.9992,1.0,1.0,1.0,0.0,inf,0.0,0.9992,0.0,0.9996
frozenset({'daily_screen_time_hours'}),frozenset({'gaming_hours'}),1.0,0.9992,0.9992,0.9992,1.0,1.0,0.0,1.0,0.0,0.9992,0.0,0.9996
frozenset({'daily_screen_time_hours'}),frozenset({'work_study_hours'}),1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
frozenset({'work_study_hours'}),frozenset({'daily_screen_time_hours'}),1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
frozenset({'daily_screen_time_hours'}),frozenset({'sleep_hours'}),1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
frozenset({'sleep_hours'}),frozenset({'daily_screen_time_hours'}),1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
frozenset({'daily_screen_time_hours'}),frozenset({'notifications_per_day'}),1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
frozenset({'notifications_per_day'}),frozenset({'daily_screen_time_hours'}),1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
frozenset({'daily_screen_time_hours'}),frozenset({'app_opens_per_day'}),1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
frozenset({'app_opens_per_day'}),frozenset({'daily_screen_time_hours'}),1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
frozenset({'daily_screen_time_hours'}),frozenset({'weekend_screen_time'}),1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
frozenset({'weekend_screen_time'}),frozenset({'daily_screen_time_hours'}),1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
frozenset({'daily_screen_time_hours'}),frozenset({'addicted_label'}),1.0,0.7077333333333333,0.7077333333333333,0.7077333333333333,1.0,1.0,0.0,1.0,0.0,0.7077333333333333,0.0,0.8538666666666667
frozenset({'addicted_label'}),frozenset({'daily_screen_time_hours'}),0.7077333333333333,1.0,0.7077333333333333,1.0,1.0,1.0,0.0,inf,0.0,0.7077333333333333,0.0,0.8538666666666667
frozenset({'social_media_hours'}),frozenset({'gaming_hours'}),1.0,0.9992,0.9992,0.9992,1.0,1.0,0.0,1.0,0.0,0.9992,0.0,0.9996
frozenset({'gaming_hours'}),frozenset({'social_media_hours'}),0.9992,1.0,0.9992,1.0,1.0,1.0,0.0,inf,0.0,0.9992,0.0,0.9996
frozenset({'social_media_hours'}),frozenset({'work_study_hours'}),1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
frozenset({'work_study_hours'}),frozenset({'social_media_hours'}),1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
frozenset({'social_media_hours'}),frozenset({'sleep_hours'}),1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
